时间,源标签,新标签,原置信,新置信,波长,入射角,截距,宽度,强度,搜索次数,,
2023/11/12 16:28,jaguar,coyote,0.163390368,0.0354921,637.4739751,-0.4527,61.52458278,5.4,0.67,23,,
2023/11/17 15:51,feather boa,dam,0.266876996,0.240135878,416.3791736,0.36152,151.5099448,17.75,0.7,147,,
2023/11/17 17:41,minivan,acoustic guitar,0.314731747,0.1271687,584.0213682,0.31116,198.1573397,10.90951177,0.583887679,1,,
,,,,,,,,,,,,
2023/11/17 17:58,carpenter's kit,prison,0.072710723,0.025198897,452.4281304,-0.66582,248.0832006,18.75,0.688567067,151,,
,,,,,,,,,,,,
2023/11/17 18:23,vacuum,shower cap,0.216903597,0.186214983,618.1210478,0.36569,63.93627189,10,0.691583938,1070,,
,,,,,,,,,,,,
2023/11/17 18:42,bee,cockroach,0.239250705,0.033473179,557.343802,0.18393,144.8571473,17.15292069,0.633580605,51,,
,,,,,,,,,,,,
2023/11/17 19:00,letter opener,bookcase,0.216416627,0.056861326,597.6933935,-0.99559,355.7151303,10,0.690013688,422,,
,,,,,,,,,,,,
2023/11/17 19:13,killer whale,tench,0.171787903,0.120304607,640.2926791,-0.66958,339.3115766,18.75,0.7,1000,,
,,,,,,,,,,,,
2023/11/17 19:22,Cardigan,television,0.261016428,0.131352767,560.9771036,-0.3211,319.0228351,16.72207793,0.529197163,157,,
,,,,,,,,,,,,
2023/11/17 19:23,polecat,dragonfly,0.444629639,0.083440036,457.785091,0.09612,79.87483058,10,0.7,219,,
,,,,,,,,,,,,
2023/11/17 19:32,Petri dish,prayer rug,0.262377918,0.14704293,525.12704,-0.07331,139.5659554,13.99976591,0.597404503,1,,
,,,,,,,,,,,,
2023/11/22 22:11,corn,ear,0.345923007,0.07705082,432.8802312,-0.94596,365.7897618,7.8,0.550093073,307,,
,,,,,,,,,,,,
2023/11/22 23:25,house finch,indigo bunting,0.53362602,0.215126008,429.9156373,0.01980554,174.5386978,14.30484531,0.7,120,,
,,,,,,,,,,,,
2023/11/23 12:50,stage,microphone,0.290885687,0.118663557,590.5155715,-0.691330478,451.7725823,11.85965537,0.510550922,30,,
,,,,,,,,,,,,
2023/11/23 12:56,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",bolete,0.407977343,0.358405232,473.931041,-0.027280337,65.62586075,6,0.7,150,,
,,,,,,,,,,,,
2023/11/23 13:07,"bookshop, bookstore, bookstall",library,0.93278414,0.266057134,531.6061221,-0.09495,215.5440189,18.75,0.7,413,,
,,,,,,,,,,,,
2023/11/23 15:55,cliff dwelling,volcano,0.12142244,0.005848403,727.3197625,-0.27619,111.1923295,13.88687535,0.651741186,1,,
,,,,,,,,,,,,
2023/11/23 16:03,triceratops,ox,0.372688681,0.02344133,536.9641649,-0.5989,256.7034666,18.75,0.695064073,290,,
,,,,,,,,,,,,
2023/12/6 16:03,jellyfish,rubber eraser,0.446484983,0.073556818,506.3020226,-0.75649,324.9048602,13,0.7,53,,
,,,,,,,,,,,,
2023/12/6 16:10,cliff dwelling,valley,0.233482823,0.015498867,442.3426754,0.42683,76.4948507,10.6018632,0.505988096,1,,
,,,,,,,,,,,,
2023/12/6 16:23,wok,frying pan,0.498368472,0.365599483,502.170846,-1.36537,181.4781148,15,0.695830664,6,,
,,,,,,,,,,,,
2023/12/6 16:24,burrito,pizza,0.065152138,0.049730685,750,-0.73453,344.3265826,16.65,0.7,1,,
,,,,,,,,,,,,
2023/12/6 16:45,cellular telephone,hard disc,0.100658044,0.022847664,477.7303434,-0.16877,189.6503649,18.3,0.7,5,,
,,,,,,,,,,,,
2023/12/6 16:45,spider web,garden spider,0.061764475,0.044021767,536.2346915,-1.16117,394.0995648,19,0.65,39,,
,,,,,,,,,,,,
2023/12/6 16:46,dalmatian,Labrador retriever,0.247349069,0.081993029,380,-0.54081,562.620623,20,0.65,43,,
,,,,,,,,,,,,
2023/12/6 16:54,ant,dragonfly,0.148688525,0.057187151,686,-0.09202,162.4329814,10,0.65,61,,
,,,,,,,,,,,,
2023/12/6 16:55,ant,long-horned beetle,0.148688525,0.037721597,593.5962829,-0.41721,308.1869266,10,0.572881465,5,,
,,,,,,,,,,,,
2023/12/6 17:12,valley,cliff,0.199600264,0.065864839,585.6551046,-0.35648,687.7364958,18,0.7,25,,
,,,,,,,,,,,,
2023/12/6 19:04,jellyfish,odometer,0.51356566,0.31765002,468.7263328,-0.27834142,253.9043119,15.24658721,0.7,210,,
,,,,,,,,,,,,
2023/12/6 19:29,meerkat,mongoose,0.309059501,0.176423326,681.0203228,0.27988,223.4678286,20,0.65,1360,,
,,,,,,,,,,,,
2023/12/6 19:38,pop bottle,beer bottle,0.290145665,0.249022029,622,0.85602,151.2611904,17.75,0.55,29,,
,,,,,,,,,,,,
2023/12/6 20:09,volcano,alp,0.226403743,0.053538114,429.9680183,0.8109,658.4271302,11,0.7,16,,
,,,,,,,,,,,,
2023/12/6 20:10,volcano,cliff,0.226403743,0.057679232,444,0.24248,819.5157064,10,0.65,51,,
,,,,,,,,,,,,
2023/12/6 20:13,promontory,missile,0.406316876,0.053912163,588.9556723,-0.8244,351.0621942,16.65,0.7,247,,
,,,,,,,,,,,,
2023/12/7 12:49,promontory,cliff,0.18394421,0.183023408,524.8223528,0.17351,217.6925891,16.65,0.7,767,,
,,,,,,,,,,,,
2023/12/7 17:45,lakeside,geyser,0.586901486,0.065267831,575.510734,-0.71299,275.8502003,15.6,0.656549798,3,,
,,,,,,,,,,,,
2023/12/7 17:51,lakeside,geyser,0.586901486,0.049265929,550.6758752,-0.51493,234.1338301,11.8804039,0.683621635,490,,
,,,,,,,,,,,,
2023/12/7 17:54,lakeside,seashore,0.586901486,0.066152312,472.0761094,-0.52227,286.1280644,14.1,0.7,30,,
,,,,,,,,,,,,
2023/12/7 18:02,lakeside,seashore,0.450792834,0.0946193,504.1558587,-0.75553,383.5608867,14,0.7,193,,
,,,,,,,,,,,,
2023/12/7 18:04,lakeside,promontory,0.331812315,0.093304197,483.7583353,-0.2909,190.4080733,10,0.7,16,,
,,,,,,,,,,,,
2023/12/7 19:15,boxer,Staffordshire bullterrier,0.248794705,0.066021837,467.5885005,-0.54488,158.1799529,16.7193716,0.7,5,,
,,,,,,,,,,,,
2023/12/7 19:16,frying pan,wok,0.595102429,0.069948241,540.5649762,0.26733,200.7760088,10,0.65,58,,
,,,,,,,,,,,,
2023/12/7 21:03,street sign,vending machine,0.343422592,0.057009835,491.0822138,0.68096,43.92804784,14,0.644891387,613,,
,,,,,,,,,,,,
2023/12/8 21:19,banana,slug,0.078554571,0.041838557,422.0612743,0.16354,80.62600527,15.8,0.60956524,1,,
,,,,,,,,,,,,
2023/12/11 17:48,valley,cliff,0.245472774,0.099559262,561.7548173,0.38603,238.980055,10,0.511783121,1,,
,,,,,,,,,,,,
2023/12/11 17:50,spatula,hair slide,0.265814672,0.018414106,382,0.63115,8.663948357,5.6,0.65,44,,
,,,,,,,,,,,,
2023/12/12 10:13,"bookshop, bookstore, bookstall","spotlight, spot",0.507201433,0.41302228,454.9292903,-0.64738,356.895127,18.75,0.6,321,,
,,,,,,,,,,,,
2023/12/12 10:15,"unicycle, monocycle","spotlight, spot",0.929063916,0.168415502,409.0473474,-1.17964,234.2281297,14.75,0.512293002,21,,
,,,,,,,,,,,,
2023/12/12 10:32,hair slide,barbell,0.99710995,0,639.850398,0.50952,69.87453508,11.21923592,0.7,1,,
,,,,,,,,,,,,
2023/12/12 10:33,beer glass,"lampshade, lamp shade",0.448031425,0.015677171,524.5984411,-1.31386,121.5572481,16.65,0.675663405,1,,
,,,,,,,,,,,,
2023/12/12 10:39,beer bottle,"pop bottle, soda bottle",0.839427471,0.139371082,380,-1.11355,335.5285703,13.72343221,0.7,9,,
,,,,,,,,,,,,
2023/12/12 10:42,stage,"theater curtain, theatre curtain",0.455057055,0.399754256,446.4135044,1.251526091,13.77356785,12.28178154,0.545896532,30,,
,,,,,,,,,,,,
2023/12/12 10:44,holster,scabbard,0.983481705,0.711338222,678.7606111,0.479379749,90.08472634,16.65,0.577678062,90,,
,,,,,,,,,,,,
2023/12/12 10:45,"Arctic fox, white fox, Alopex lagopus",alp,0.63047725,0.207592607,631.5526948,0.100876996,98.3854214,12.49174014,0.7,60,,
,,,,,,,,,,,,
2023/12/12 10:46,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin","leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",0.888733864,0.302983224,458.9173349,-0.633163613,309.1639426,15.67378642,0.525293507,30,,
,,,,,,,,,,,,
2023/12/12 10:47,"three-toed sloth, ai, Bradypus tridactylus","titi, titi monkey",0.997930408,0.213832349,591.2068015,-0.578260751,341,16.89412126,0.692420651,60,,
,,,,,,,,,,,,
2023/12/12 11:31,cuirass,"breastplate, aegis, egis",0.79736495,0.505092859,625.7838683,-0.522642425,65.16661544,14.57222174,0.762427684,30,,
,,,,,,,,,,,,
2023/12/12 11:32,yawl,trimaran,0.925307035,0.341767997,419.3091433,0.082655732,265.4773565,11.51329675,0.636097943,30,,
,,,,,,,,,,,,
2023/12/12 11:34,French bulldog,"Cardigan, Cardigan Welsh corgi",0.167857349,0.234443843,614.524554,-0.591420225,116.5352242,12.51776645,0.585987913,30,,
,,,,,,,,,,,,
2023/12/12 11:37,"worm fence, snake fence, snake-rail fence, Virginia fence","spotlight, spot",0.924917638,0.111283958,471.0530222,-0.38532487,271.3816735,15.05307302,0.681553162,30,,
,,,,,,,,,,,,
2023/12/12 11:39,orange,"candle, taper, wax light",0.931599379,0.570459008,622.0450774,-1.40391415,131.9197249,17.37063826,0.669989522,30,,
,,,,,,,,,,,,
2023/12/12 11:42,"polecat, fitch, foulmart, foumart, Mustela putorius","black-footed ferret, ferret, Mustela nigripes",0.811457396,0.543279827,598.1133738,-0.508018787,297.1181875,13.22892122,0.624850207,30,,
,,,,,,,,,,,,
2023/12/12 11:44,"studio couch, day bed",neck brace,0.202751294,0.112164371,675.8894362,0.49295314,190.1355345,19.26380157,0.588578281,30,,
,,,,,,,,,,,,
2023/12/12 15:07,"worm fence, snake fence, snake-rail fence, Virginia fence","picket fence, paling",0.66572082,0.592859387,492.4495653,0.446206017,277.9212067,11.2528922,0.508045727,30,,
,,,,,,,,,,,,
2023/12/12 16:09,"wallet, billfold, notecase, pocketbook",cassette,0.49216032,0.682825267,731.102086,0.128900043,97.38061448,11.28884029,0.702957147,30,,
,,,,,,,,,,,,
2023/12/12 16:11,"radio, wireless","lighter, light, igniter, ignitor",0.35411495,0.649412394,605.0969276,0.328685513,149.1650603,14.07432748,0.590915876,30,,
,,,,,,,,,,,,
2023/12/12 16:15,"aircraft carrier, carrier, flattop, attack aircraft carrier","projectile, missile",0.998931825,0.678364038,595.5471462,0.159944879,145.1822228,15.70229177,0.653411981,120,,
,,,,,,,,,,,,
2023/12/12 16:17,"lipstick, lip rouge","flute, transverse flute",0.998216927,0.182563901,519.8369927,-0.089930591,70.41769971,9,0.606433856,60,,
,,,,,,,,,,,,
2023/12/12 16:19,hourglass,torch,0.997453988,0.258514881,620.5064706,-0.512021326,92.01292453,16.30314664,0.708616003,30,,
,,,,,,,,,,,,
2023/12/12 16:19,"miniskirt, mini",wig,0.562667012,0.161033034,479.6425759,0.61467612,158.1669183,15.44061807,0.770328978,30,,
,,,,,,,,,,,,
2023/12/12 16:19,"Newfoundland, Newfoundland dog","swab, swob, mop",0.673931777,0.317022443,584.5547898,0.699414805,197.3209902,14.81344792,0.678080287,30,,
,,,,,,,,,,,,
2023/12/12 16:20,cocktail shaker,water bottle,0.996853411,0.310841054,597.9672165,1.168924014,0,14.95926899,0.617288156,60,,
,,,,,,,,,,,,
2023/12/12 16:22,electric guitar,acoustic guitar,0.612876356,0.45989579,487.5643477,-0.242342896,161.5515847,15.49729426,0.630301682,90,,
,,,,,,,,,,,,
2023/12/12 16:22,"bookshop, bookstore, bookstall",library,0.934355676,0.528140008,472.5771819,-0.50004285,271.7989405,15.94092155,0.628285785,30,,
,,,,,,,,,,,,
2023/12/12 16:24,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin","leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",0.888733864,0.113536976,515.4422403,-0.060939062,201.0107371,15.98985556,0.7,60,,
,,,,,,,,,,,,
2023/12/12 16:24,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin","leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",0.888733864,0.113536976,515.4422403,-0.060939062,201.0107371,15.98985556,0.7,60,,
,,,,,,,,,,,,
2023/12/12 16:25,"garbage truck, dustcart","trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",0.664903045,0.180893227,574.8265087,0.11742123,43.97600052,16.48042152,0.640462857,30,,
,,,,,,,,,,,,
2023/12/12 16:26,Tibetan mastiff,Brabancon griffon,0.619627416,0.65928787,613.6248581,0.065942109,278.5032163,11.30273398,0.72207112,30,,
,,,,,,,,,,,,
2023/12/12 16:30,"garbage truck, dustcart","trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",0.664903045,0.180893227,574.8265087,0.11742123,43.97600052,16.48042152,0.640462857,30,,
,,,,,,,,,,,,
2023/12/12 16:31,Tibetan mastiff,Brabancon griffon,0.619627416,0.65928787,613.6248581,0.065942109,278.5032163,11.30273398,0.72207112,30,,
,,,,,,,,,,,,
2023/12/12 16:32,thimble,reel,0.069148369,0.712444723,541.5095576,0.36468128,184.207082,13.62452714,0.607581872,30,,
,,,,,,,,,,,,
2023/12/12 16:33,"Arctic fox, white fox, Alopex lagopus","bannister, banister, balustrade, balusters, handrail",0.989525318,0.161354333,604.6010587,-0.017751332,171.5008571,18.11011995,0.7,60,,
,,,,,,,,,,,,
2023/12/12 16:34,crate,"spotlight, spot",0.95239377,0.559856772,486.0172624,0.585038018,20.69596565,19.20378455,0.742128246,30,,
,,,,,,,,,,,,
2023/12/12 16:34,scoreboard,"slot, one-armed bandit",0.997695267,0.538193166,469.0612404,0.480885052,109.1345332,11.39239354,0.601207177,270,,
,,,,,,,,,,,,
2023/12/12 16:35,paper towel,carton,0.475680679,0.152587757,582.2744366,-1.081210639,119.462994,17.18151681,0.566683816,30,,
,,,,,,,,,,,,
2023/12/12 16:40,catamaran,trimaran,0.89987433,0.637450993,659.721981,1.02549497,92.18007466,18.98898449,0.591992975,30,,
,,,,,,,,,,,,
2023/12/12 16:40,"harvestman, daddy longlegs, Phalangium opilio",tick,0.998923838,0.662459671,503.4464846,-0.48009593,380.1842393,19.23752313,0.670114411,300,,
,,,,,,,,,,,,
2023/12/12 16:41,"frying pan, frypan, skillet",Dutch oven,0.821653008,0.531551421,453.6442657,-0.731278672,302.5186651,12.4723656,0.776528131,30,,
,,,,,,,,,,,,
2023/12/12 16:41,catamaran,speedboat,0.793581069,0.650940359,608.0685614,-0.6493308,161.1088309,16.18938305,0.698210548,30,,
,,,,,,,,,,,,
2023/12/12 16:41,combination lock,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.990305543,0.095248237,478.4965614,-0.16858526,204.5711556,15.21180408,0.425740339,90,,
,,,,,,,,,,,,
2023/12/12 16:42,"switch, electric switch, electrical switch",safe,0.593811214,0.466080546,386.8260044,0.318415093,121.4972883,19.32514801,0.601545589,30,,
,,,,,,,,,,,,
2023/12/12 16:43,photocopier,desk,0.860033512,0.370031744,731.5012239,0.027036006,180.4008225,12.86603151,0.7,60,,
,,,,,,,,,,,,
2023/12/12 16:43,"hot pot, hotpot",consomme,0.49153161,0.564701676,651.8064282,0.650611632,584.5319263,18.98220043,0.555574877,30,,
,,,,,,,,,,,,
2023/12/12 16:43,"washbasin, handbasin, washbowl, lavabo, wash-hand basin",projector,0.213285908,0.179960966,683.7200539,-0.758271676,186.4764156,13.5000972,0.705599826,30,,
,,,,,,,,,,,,
2023/12/12 16:44,"rock beauty, Holocanthus tricolor",sea snake,0.999068439,0.675043941,661.1890971,0.295504758,41.83823838,4.5,0.601911149,60,,
,,,,,,,,,,,,
2023/12/12 16:44,crate,"spotlight, spot",0.998822272,0.696510851,444.3874128,0.587289209,109.6952853,18.7,0.7,120,,
,,,,,,,,,,,,
